Date,Cured,Deaths,Confirmed
2020-03-04,0,0,2
2020-03-05,0,0,2
2020-03-06,0,0,2
2020-03-07,0,0,2
2020-03-08,0,0,2
2020-03-09,0,0,2
2020-03-10,0,0,2
2020-03-11,0,0,14
2020-03-12,0,0,14
2020-03-13,0,0,14
2020-03-14,0,0,14
2020-03-15,0,0,14
2020-03-16,0,0,14
2020-03-17,0,0,15
2020-03-18,0,0,17
2020-03-19,0,0,17
2020-03-20,0,0,17
2020-03-21,0,0,17
2020-03-22,0,0,21
2020-03-23,0,0,26
2020-03-24,11,0,28
2020-03-25,11,0,28
2020-03-26,11,0,30
2020-03-27,11,0,30
2020-03-28,12,0,33
2020-03-29,17,0,33
2020-03-30,18,0,36
2020-03-31,21,0,40
2020-04-01,21,0,43
2020-04-02,21,0,43
2020-04-03,24,0,49
2020-04-04,24,0,49
2020-04-05,25,1,59
2020-04-06,25,1,84
2020-04-07,25,1,90
2020-04-08,28,3,147
2020-04-09,29,3,169
2020-04-10,29,3,169
2020-04-11,29,3,177
2020-04-12,29,3,185
2020-04-13,29,3,185
2020-04-14,34,3,199
2020-04-15,34,3,199
2020-04-16,43,3,205
2020-04-17,43,3,205
2020-04-18,43,3,225
2020-04-19,87,3,233
2020-04-20,87,3,233
2020-04-21,127,3,254
2020-04-22,127,3,254
2020-04-23,140,3,262
2020-04-24,156,3,272
2020-04-25,156,3,272
2020-04-26,176,3,289
2020-04-27,176,3,289
2020-04-28,183,3,296
2020-04-29,209,3,310
2020-04-30,209,3,310
2020-05-01,209,3,313
2020-05-02,227,4,360
2020-05-03,227,4,394
2020-05-04,245,5,442
2020-05-05,254,6,517
2020-05-06,256,6,548
2020-05-07,260,7,594
2020-05-08,260,7,625
2020-05-09,279,8,647
2020-05-10,290,9,675
2020-05-11,300,10,703
2020-05-12,337,11,730
2020-05-13,342,11,780
2020-05-14,418,11,793
2020-05-15,439,11,818
2020-05-16,439,11,818
2020-05-17,514,13,887
2020-05-18,562,14,910
2020-05-19,598,14,928
2020-05-20,627,14,964
2020-05-21,648,14,993
2020-05-22,681,15,1031
2020-05-23,706,16,1067
2020-05-24,750,16,1131
2020-05-25,765,16,1184
2020-05-26,765,16,1184
2020-05-27,824,17,1305
2020-05-28,838,18,1381
2020-05-29,881,19,1504
2020-05-30,940,19,1721
2020-05-31,971,20,1923
2020-06-01,1048,20,2091
2020-06-02,1055,21,2356
2020-06-03,1069,23,2652
2020-06-04,1089,23,2954
2020-06-05,2134,24,3281
2020-06-06,2134,24,3597
2020-06-07,2134,24,3952
2020-06-08,2134,28,4448
2020-06-09,2134,39,4854
2020-06-10,2134,45,5209
2020-06-11,2188,52,5579
2020-06-12,2260,64,5968
2020-06-13,2475,70,6334
2020-06-14,2803,78,6749
2020-06-15,3003,88,7208
2020-06-16,3565,100,7722
2020-06-17,3748,118,8272
2020-06-18,3952,130,8832
2020-06-19,4556,134,9218
2020-06-20,4889,144,9743
2020-06-21,5128,149,10223
2020-06-22,5557,160,10635
2020-06-23,5916,169,11025
2020-06-24,6498,178,11520
2020-06-25,6925,188,12010
2020-06-26,7380,198,12463
2020-06-27,8016,211,12884
2020-06-28,8472,218,13427
2020-06-29,8917,223,13829
2020-06-30,9502,232,14210
2020-07-01,9972,236,14548
2020-07-02,10499,240,14941
2020-07-03,11019,251,15509
2020-07-04,11691,255,16003
2020-07-05,12257,260,16548
2020-07-06,12944,265,17005
2020-07-07,13335,276,17504
2020-07-08,13645,279,17999
2020-07-09,14106,282,18690
2020-07-10,14510,287,19369
2020-07-11,14904,290,19934
2020-07-12,15394,297,20582
2020-07-13,15983,301,21240
2020-07-14,16602,308,21894
2020-07-15,17090,312,22628
2020-07-16,17667,319,23306
2020-07-17,18185,322,24002
2020-07-18,18718,327,24797
2020-07-19,19318,344,25547
2020-07-20,19793,349,26164
2020-07-21,20226,355,26858
2020-07-22,20952,364,27462
2020-07-23,21697,372,28186
2020-07-24,22249,378,28975
2020-07-25,22953,382,29755
2020-07-26,23654,389,30538
2020-07-27,24384,392,31332
2020-07-28,25046,397,32127
2020-07-29,25758,406,32876
2020-07-30,26420,413,33631
2020-07-31,27340,417,34254
2020-08-01,28227,421,34965
2020-08-02,29080,428,35758
2020-08-03,29690,433,36519
2020-08-04,30470,440,37173
2020-08-05,31226,448,37796
2020-08-06,31960,455,38548
2020-08-07,32640,458,39303
2020-08-08,33444,467,40054
2020-08-09,34031,474,40843
2020-08-10,34781,483,41635
2020-08-11,35492,489,42429
2020-08-12,36082,500,43227
2020-08-13,36694,503,44024
2020-08-14,37486,511,44817
2020-08-15,38348,518,45614
2020-08-16,38939,528,46410
2020-08-17,39601,538,47153
2020-08-18,40610,550,48040
2020-08-19,41298,557,48936
2020-08-20,42056,567,49930
2020-08-21,42793,578,50926
2020-08-22,43413,585,52129
2020-08-23,44013,597,53290
2020-08-24,44822,603,54386
2020-08-25,45405,613,55460
2020-08-26,46496,623,56608
2020-08-27,47613,634,58005
2020-08-28,48690,646,59298
2020-08-29,49710,661,60596
2020-08-30,50711,670,61987
2020-08-31,51620,682,63282
2020-09-01,52672,689,64732
2020-09-02,53835,706,66426
2020-09-03,54875,721,68218
2020-09-04,55889,740,70099
2020-09-05,57171,759,71983
2020-09-06,58580,781,74272
2020-09-07,60051,806,76549
2020-09-08,61611,829,78773
2020-09-09,63315,854,81059
2020-09-10,65143,882,83353
2020-09-11,66705,907,85944
2020-09-12,68525,932,88332
2020-09-13,70713,956,91115
2020-09-14,72587,975,93641
2020-09-15,74712,1000,96129
2020-09-16,77166,1026,98622
2020-09-17,78937,1045,101316
2020-09-18,81690,1069,103773
2020-09-19,83878,1092,106261
2020-09-20,86150,1120,108952
2020-09-21,88697,1149,111257
2020-09-22,90884,1177,113075
2020-09-23,93776,1206,114870
2020-09-24,96347,1233,116856
2020-09-25,98410,1255,118554
2020-09-26,101273,1273,120578
2020-09-27,103827,1291,122267
2020-09-28,105990,1307,123782
2020-09-29,108411,1331,125412
2020-09-30,110814,1356,126974
2020-10-01,112877,1382,128599
2020-10-02,115038,1402,129912
2020-10-03,116716,1425,131388
2020-10-04,118258,1450,132576
2020-10-05,120341,1470,133878
2020-10-06,121596,1491,134909
2020-10-07,123286,1509,136115
2020-10-08,124841,1528,137398
2020-10-09,126267,1548,138682
2020-10-10,127540,1562,139932
2020-10-11,128841,1572,141090
2020-10-12,130003,1579,142155
2020-10-13,131228,1592,143221
2020-10-14,132382,1601,144302
2020-10-15,133706,1614,145507
2020-10-16,134719,1623,146706
2020-10-17,135858,1634,147933
2020-10-18,137176,1640,149081
2020-10-19,138351,1640,150033
2020-10-20,139511,1648,151234
2020-10-21,140436,1660,152174
2020-10-22,141506,1674,153367
2020-10-23,142798,1688,154495
2020-10-24,143978,1705,155765
2020-10-25,145196,1720,157064
2020-10-26,146282,1727,158304
2020-10-27,147566,1737,159457
2020-10-28,148503,1750,160705
2020-10-29,149451,1758,162223
2020-10-30,150660,1766,163817
2020-10-31,151839,1777,165467
2020-11-01,153230,1789,167210
2020-11-02,154451,1795,168880
2020-11-03,155717,1810,170446
2020-11-04,156975,1817,172130
2020-11-05,158136,1836,174082
2020-11-06,159643,1859,176146
2020-11-07,161176,1880,178413
2020-11-08,162814,1897,180424
2020-11-09,164444,1912,182804
2020-11-10,166595,1919,185231
2020-11-11,168421,1935,187777
2020-11-12,170250,1960,190323
2020-11-13,172265,1979,193111
2020-11-14,174380,2006,195799
2020-11-15,176368,2011,197917
2020-11-16,178298,2019,199874
2020-11-17,180647,2038,202027
2020-11-18,183261,2063,204477
2020-11-19,185403,2093,207039
2020-11-20,187559,2113,209251
2020-11-21,190067,2138,212355
2020-11-22,192533,2163,215021
2020-11-23,194768,2188,217300
2020-11-24,197335,2216,219963
2020-11-25,199278,2249,222292
2020-11-26,201250,2291,224489
2020-11-27,203517,2316,226611
2020-11-28,206001,2345,228746
2020-11-29,208422,2375,230713
2020-11-30,211216,2401,232522
2020-12-01,213336,2428,234126
2020-12-02,215797,2456,235997
2020-12-03,218443,2488,237604
2020-12-04,221203,2520,239239
2020-12-05,223973,2539,240841
2020-12-06,226524,2564,242398
2020-12-07,228411,2588,243896
2020-12-08,230551,2611,245288
2020-12-09,232108,2624,246679
2020-12-10,233696,2650,248079
2020-12-11,235197,2676,249329
2020-12-12,237009,2699,250394
2020-12-13,238374,2710,251402
2020-12-14,239800,2717,252392
2020-12-15,241544,2733,253385
2020-12-16,243224,2751,254207
2020-12-17,244676,2765,255014
2020-12-18,245933,2782,255728
2020-12-19,247097,2803,256477
2020-12-20,248172,2816,257067
2020-12-21,248935,2821,257644
2020-12-22,249840,2832,258197
2020-12-23,250502,2842,258731
2020-12-24,251149,2847,259226
2020-12-25,251908,2854,259745
2020-12-26,252545,2858,260153
2020-12-27,253145,2865,260545
2020-12-28,253765,2874,260907
2020-12-29,254336,2882,261258
2020-12-30,254880,2892,261672
2020-12-31,255356,2899,262054
2021-01-01,255853,2905,262325
2021-01-02,256386,2911,262611
2021-01-03,256811,2915,262850
2021-01-04,257261,2917,263068
2021-01-05,257652,2923,263312
2021-01-06,257952,2927,263571
2021-01-07,258281,2934,263887
2021-01-08,258658,2940,264161
2021-01-09,258998,2943,264442
2021-01-10,259209,2949,264721
2021-01-11,259495,2950,264955
2021-01-12,259696,2956,265199
2021-01-13,259986,2964,265391
2021-01-14,260236,2966,265616
2021-01-15,260565,2972,265803
2021-01-16,260801,2979,265964
2021-01-17,261019,2983,266131
2021-01-18,261230,2985,266309
2021-01-19,261510,2989,266428
2021-01-20,261751,2993,266581
2021-01-21,261955,2997,266686
2021-01-22,262140,3000,266819
2021-01-23,262349,3005,266939
2021-01-24,262507,3009,267075
2021-01-25,262682,3010,267203
2021-01-26,262929,3014,267321
2021-01-27,263119,3014,267417
2021-01-28,263236,3014,267504
2021-01-29,263347,3014,267601
2021-01-30,263501,3015,267708
2021-01-31,263654,3017,267805
2021-02-01,263764,3018,267897
2021-02-02,263886,3022,267989
2021-02-03,263989,3023,268067
2021-02-04,264093,3024,268136
2021-02-05,264221,3026,268209
2021-02-06,264317,3027,268293
2021-02-07,264429,3027,268364
2021-02-08,264519,3029,268431
2021-02-09,264608,3029,268507
2021-02-10,264713,3033,268600
2021-02-11,264820,3033,268677
2021-02-12,264901,3034,268783
2021-02-13,265015,3035,268887
2021-02-14,265085,3039,268969
2021-02-15,265155,3039,269046
2021-02-16,265212,3039,269154
2021-02-17,265381,3040,269240
2021-02-18,265455,3041,269322
2021-02-19,265549,3042,269405
2021-02-20,265643,3042,269498
2021-02-21,265751,3042,269609
2021-02-22,265827,3042,269730
2021-02-23,265920,3042,269836
2021-02-24,266017,3042,269967
2021-02-25,266099,3043,270097
2021-02-26,266166,3043,270263
2021-02-27,266264,3044,270411
2021-02-28,266358,3047,270610
2021-03-01,266461,3048,270784
2021-03-02,266612,3050,270950
2021-03-03,266725,3052,271125
2021-03-04,266843,3052,271365
2021-03-05,266992,3052,271659
2021-03-06,267116,3053,271892
2021-03-07,267261,3056,272215
2021-03-08,267433,3056,272520
2021-03-09,267610,3058,272751
2021-03-10,267762,3062,273087
2021-03-11,267762,3062,273087
2021-03-12,267942,3064,273446
2021-03-13,268397,3069,274273
2021-03-14,268672,3073,274697
2021-03-15,268968,3074,275137
2021-03-16,269268,3077,275557
2021-03-17,269517,3079,276080
2021-03-18,269812,3083,276635
2021-03-19,270222,3089,277268
2021-03-20,270670,3090,278140
2021-03-21,271038,3093,278961
2021-03-22,271375,3098,279828
2021-03-23,271894,3101,280693
2021-03-24,272335,3104,281588
2021-03-25,272714,3110,282569
2021-03-26,273276,3117,283622
2021-03-27,274024,3125,284944
2021-03-28,274785,3132,286327
2021-03-29,275458,3141,287719
2021-03-30,276259,3143,288714
2021-03-31,277110,3147,289694
2021-04-01,277919,3155,290800
2021-04-02,278883,3164,292409
2021-04-03,280074,3174,294270
2021-04-04,281258,3184,296229
2021-04-05,282368,3191,298133
2021-04-06,283869,3199,300173
2021-04-07,284984,3208,302272
2021-04-08,286182,3219,304638
2021-04-09,287151,3230,307510
2021-04-10,289121,3241,310504
2021-04-11,290736,3252,313441
2021-04-12,292632,3268,316881
2021-04-13,294930,3282,320699
2021-04-14,297039,3298,324544
2021-04-15,299205,3316,329942
2021-04-16,301948,3334,335800
2021-04-17,304906,3354,342077
2021-04-18,307850,3386,349794
2021-04-19,311339,3415,356971
2021-04-20,315002,3448,363813
2021-04-21,318369,3483,371624
2021-04-22,322297,3528,381247
2021-04-23,328809,3583,390989
2021-04-24,335143,3643,402843
2021-04-25,340247,3703,413334
2021-04-26,346304,3767,424319
2021-04-27,352515,3842,435823
2021-04-28,359699,3926,447754
2021-04-29,367317,4021,460198
2021-04-30,376852,4118,474145
2021-05-01,386200,4216,487978
2021-05-02,394709,4341,501566
2021-05-03,405132,4486,514888
2021-05-04,418425,4626,527773
2021-05-05,429950,4779,543559
2021-05-06,440590,4960,558975
2021-05-07,452836,5137,573815
2021-05-08,466420,5299,587682
2021-05-09,480786,5454,602349
2021-05-10,493425,5605,615897
2021-05-11,509617,5766,628615
2021-05-12,525345,5910,640252
2021-05-13,539609,6075,652742
2021-05-14,555650,6238,665028
2021-05-15,570227,6402,675636
2021-05-16,582820,6546,685312
2021-05-17,597676,6685,694427
2021-05-18,611955,6799,701915
2021-05-19,626852,6923,709689
2021-05-20,638673,7076,716507
2021-05-21,653407,7205,722964
2021-05-22,666893,7317,728607
2021-05-23,678220,7415,733628
2021-05-24,687700,7512,738028
2021-05-25,696059,7607,741785
2021-05-26,702779,7735,744602
2021-05-27,708255,7841,747740
2021-05-28,713934,7939,750062
2021-05-29,718959,8035,752069
2021-05-30,722711,8132,753937
2021-05-31,726081,8221,755389
2021-06-01,729752,8303,756635
2021-06-02,733205,8383,757868
2021-06-03,735910,8461,759039
2021-06-04,738799,8532,760019
2021-06-05,741255,8605,760914
2021-06-06,742999,8664,761637
2021-06-07,744482,8712,762291
2021-06-08,746156,8751,762931
2021-06-09,747246,8789,763566
2021-06-10,748186,8829,764094
2021-06-11,749407,8861,764633
2021-06-12,750443,8904,765096
2021-06-13,751387,8949,765522
2021-06-14,752208,8992,765861
2021-06-15,753020,9032,766129
2021-06-16,753584,9070,766357
2021-06-17,753918,9109,766606
2021-06-18,754464,9147,766838
2021-06-19,754924,9183,767047
2021-06-20,755324,9216,767217
2021-06-21,755681,9246,767418
2021-06-22,755968,9275,767580
2021-06-23,756231,9295,767726
2021-06-24,756426,9314,767900
2021-06-25,756679,9333,768002
2021-06-26,756864,9351,768142
2021-06-27,757091,9368,768263
2021-06-28,757308,9385,768378
2021-06-29,757480,9401,768474
2021-06-30,757640,9417,768552
2021-07-01,757771,9431,768639
2021-07-02,757898,9446,768724
2021-07-03,758046,9461,768800
2021-07-04,758144,9474,768852
2021-07-05,758231,9486,768903
2021-07-06,758348,9496,768957
2021-07-07,758442,9506,769030
2021-07-08,758512,9515,769093
2021-07-09,758589,9525,769148
2021-07-10,758678,9534,769205
2021-07-11,758728,9542,769243
2021-07-12,758790,9550,769279
2021-07-13,758849,9556,769307
2021-07-14,758908,9563,769343
2021-07-15,758958,9571,769383
2021-07-16,759001,9578,769417
2021-07-17,759041,9586,769463
2021-07-18,759088,9593,769504
2021-07-19,759123,9599,769539
2021-07-20,759179,9605,769569
2021-07-21,759213,9608,769605
2021-07-22,759240,9611,769640
2021-07-23,759287,9613,769665
2021-07-24,759325,9616,769704
2021-07-25,759360,9617,769717
2021-07-26,759405,9619,769739
2021-07-27,759437,9622,769770
2021-07-28,759471,9624,769796
2021-07-29,759499,9627,769828
2021-07-30,759516,9630,769858
2021-07-31,759539,9633,769884
2021-08-01,759566,9635,769913
2021-08-02,759589,9638,769942
2021-08-03,759614,9639,769956
2021-08-04,759633,9641,769982
2021-08-05,759653,9644,770009
2021-08-06,759678,9646,770027
2021-08-07,759705,9647,770042
2021-08-08,759727,9648,770060
2021-08-09,759751,9649,770079
2021-08-10,759769,9650,770091
2021-08-11,759790,9652,770114
